,result,max_time,min_time,total_thinking_time,total_move,thinking_time
30,-1,0.35599566,0.23799706,1.9519241,7,"0.2763831615447998,0.23799705505371094,0.25297021865844727,0.2972700595855713,0.35599565505981445,0.2875802516937256,0.2437276840209961"
31,-1,0.43167424,0.23791027,24.36075,93,"0.2830371856689453,0.25484800338745117,0.25196027755737305,0.2914106845855713,0.4316742420196533,0.34562206268310547,0.3300745487213135,0.3348712921142578,0.24703145027160645,0.2839999198913574,0.2420940399169922,0.2688930034637451,0.24922442436218262,0.240708589553833,0.29276084899902344,0.23879194259643555,0.2599763870239258,0.2494492530822754,0.239013671875,0.25203537940979004,0.2701752185821533,0.3202226161956787,0.24396514892578125,0.2657134532928467,0.24821782112121582,0.24119949340820312,0.24799823760986328,0.23999547958374023,0.28197264671325684,0.24268102645874023,0.28986644744873047,0.25202131271362305,0.24516701698303223,0.26999926567077637,0.25365710258483887,0.23999929428100586,0.24365949630737305,0.24303555488586426,0.2465064525604248,0.2440016269683838,0.2723371982574463,0.28496289253234863,0.2510535717010498,0.4116480350494385,0.2810041904449463,0.24500036239624023,0.26804113388061523,0.23999881744384766,0.24818897247314453,0.2610011100769043,0.23899483680725098,0.24199843406677246,0.26267242431640625,0.2539660930633545,0.24521660804748535,0.24138760566711426,0.27955102920532227,0.2400350570678711,0.24507594108581543,0.2456676959991455,0.23991799354553223,0.25099897384643555,0.2454543113708496,0.24796533584594727,0.24172091484069824,0.24100708961486816,0.24168133735656738,0.24300122261047363,0.3016386032104492,0.24703526496887207,0.2539987564086914,0.24496817588806152,0.24762368202209473,0.2850046157836914,0.24200057983398438,0.3200664520263672,0.24196863174438477,0.2439255714416504,0.26000213623046875,0.24496674537658691,0.2951672077178955,0.24222731590270996,0.24899005889892578,0.24128937721252441,0.24233007431030273,0.2700338363647461,0.24195361137390137,0.26784205436706543,0.2436809539794922,0.2420177459716797,0.23802638053894043,0.23791027069091797,0.2889993190765381"
32,-1,0.27057958,0.23526931,1.739574,7,"0.27057957649230957,0.24716448783874512,0.24285483360290527,0.2690246105194092,0.23526930809020996,0.2366790771484375,0.23800206184387207"
33,-1,0.3318832,0.23863363,1.859843,7,"0.24599957466125488,0.27669262886047363,0.2386336326599121,0.33188319206237793,0.2483055591583252,0.2776637077331543,0.24066472053527832"
34,-1,0.6148286,0.24133253,4.4013405,15,"0.2436685562133789,0.2560293674468994,0.26562976837158203,0.2460176944732666,0.26000285148620605,0.2413325309753418,0.25502657890319824,0.2766704559326172,0.6148285865783691,0.2562143802642822,0.31400585174560547,0.2496626377105713,0.26003360748291016,0.40460824966430664,0.25760912895202637"
35,-1,0.6137135,0.23795676,18.727112,70,"0.25521135330200195,0.282116174697876,0.23795676231384277,0.26200246810913086,0.2639937400817871,0.27499866485595703,0.2598240375518799,0.2558417320251465,0.4625203609466553,0.2914888858795166,0.44564247131347656,0.2565445899963379,0.6137135028839111,0.2591359615325928,0.26294660568237305,0.24776530265808105,0.2816321849822998,0.24162006378173828,0.2556586265563965,0.25211095809936523,0.2729959487915039,0.28799962997436523,0.24128150939941406,0.2839624881744385,0.24365019798278809,0.24503469467163086,0.2429649829864502,0.24098801612854004,0.3130381107330322,0.238020658493042,0.24900269508361816,0.25099968910217285,0.2393479347229004,0.2784759998321533,0.2460012435913086,0.28475356101989746,0.23999810218811035,0.2452104091644287,0.24603533744812012,0.24021267890930176,0.2759978771209717,0.2407236099243164,0.2539999485015869,0.27367234230041504,0.2469625473022461,0.24026107788085938,0.2509629726409912,0.26193809509277344,0.2447834014892578,0.25847840309143066,0.24926352500915527,0.23962807655334473,0.2696197032928467,0.2532157897949219,0.2725553512573242,0.23999834060668945,0.2419593334197998,0.24297142028808594,0.23999977111816406,0.2539944648742676,0.240997314453125,0.2566964626312256,0.2612123489379883,0.2429661750793457,0.3049755096435547,0.2630002498626709,0.28705358505249023,0.24400019645690918,0.24158716201782227,0.24093914031982422"
36,-1,0.2964747,0.23799825,1.8039134,7,"0.244154691696167,0.2964746952056885,0.23903417587280273,0.2690012454986572,0.26856088638305664,0.23799824714660645,0.2486894130706787"
37,-1,0.29595947,0.23699832,3.0281312,12,"0.24661874771118164,0.2386932373046875,0.2720177173614502,0.23897123336791992,0.2407517433166504,0.2669992446899414,0.23920989036560059,0.27091479301452637,0.23903417587280273,0.29595947265625,0.2369983196258545,0.24196267127990723"
38,-1,0.26248264,0.23899722,1.7224863,7,"0.24503326416015625,0.24503636360168457,0.2624826431274414,0.2436974048614502,0.24499845504760742,0.238997220993042,0.24224090576171875"
39,-1,0.28099918,0.24199271,1.7969606,7,"0.2529630661010742,0.25,0.24199914932250977,0.2609992027282715,0.24199271202087402,0.2680072784423828,0.28099918365478516"
40,-1,0.29000926,0.23796558,9.795128,39,"0.24264836311340332,0.26601386070251465,0.24376606941223145,0.24286103248596191,0.26491737365722656,0.23796558380126953,0.25563955307006836,0.24401140213012695,0.2646448612213135,0.24302291870117188,0.24373841285705566,0.27196455001831055,0.24043917655944824,0.25667786598205566,0.250823974609375,0.2420330047607422,0.277299165725708,0.24187278747558594,0.24703502655029297,0.24173974990844727,0.2821371555328369,0.2488234043121338,0.2429642677307129,0.2602252960205078,0.2420361042022705,0.24203753471374512,0.25896644592285156,0.24019479751586914,0.27126455307006836,0.24305009841918945,0.23927974700927734,0.24680852890014648,0.24086785316467285,0.2900092601776123,0.24103331565856934,0.24889111518859863,0.24100828170776367,0.25038599967956543,0.24602842330932617"
41,-1,0.34678197,0.23696113,7.4112825,29,"0.2434852123260498,0.34678196907043457,0.24104070663452148,0.25702810287475586,0.25207042694091797,0.30588793754577637,0.24899911880493164,0.29799842834472656,0.2796657085418701,0.24167108535766602,0.25500011444091797,0.2409956455230713,0.23696112632751465,0.2499983310699463,0.24063539505004883,0.24470090866088867,0.2389967441558838,0.2386491298675537,0.23967719078063965,0.23799419403076172,0.25499415397644043,0.2420351505279541,0.2420048713684082,0.24965548515319824,0.27013301849365234,0.2871525287628174,0.23904109001159668,0.24699687957763672,0.24103140830993652"
42,-1,0.28675652,0.23893428,1.8021879,7,"0.2427375316619873,0.26999568939208984,0.23893427848815918,0.2678382396697998,0.24292349815368652,0.2530021667480469,0.2867565155029297"
43,-1,0.259032,0.23761082,1.7148244,7,"0.24189400672912598,0.24098920822143555,0.25462865829467773,0.2376108169555664,0.2590320110321045,0.23966670036315918,0.24100303649902344"
44,1,0.27988315,0.23943019,4.2797003,17,"0.27988314628601074,0.2430095672607422,0.24100184440612793,0.25621461868286133,0.2430410385131836,0.25485658645629883,0.24246907234191895,0.26950526237487793,0.24703574180603027,0.2452249526977539,0.23943018913269043,0.2742729187011719,0.26800060272216797,0.241959810256958,0.2460474967956543,0.24711298942565918,0.24063444137573242"
45,-1,0.41003537,0.23799968,15.645579,60,"0.2669978141784668,0.24083685874938965,0.2440023422241211,0.2459568977355957,0.24900245666503906,0.2610321044921875,0.23999929428100586,0.27059316635131836,0.23799967765808105,0.24299883842468262,0.2462012767791748,0.24162650108337402,0.2969970703125,0.23999786376953125,0.3846104145050049,0.23999905586242676,0.24699902534484863,0.2429962158203125,0.2429661750793457,0.262650728225708,0.24896502494812012,0.2740175724029541,0.2522282600402832,0.245009183883667,0.24456548690795898,0.25296783447265625,0.272000789642334,0.24399495124816895,0.24927258491516113,0.2700009346008301,0.24362850189208984,0.24998879432678223,0.24572205543518066,0.2776634693145752,0.24666428565979004,0.23955392837524414,0.24866414070129395,0.2591674327850342,0.27618908882141113,0.23999953269958496,0.25357484817504883,0.26561856269836426,0.24184679985046387,0.25103330612182617,0.4100353717803955,0.30274128913879395,0.2608664035797119,0.32597994804382324,0.2452409267425537,0.2630350589752197,0.26485347747802734,0.3079988956451416,0.2436366081237793,0.2646615505218506,0.24662017822265625,0.24168896675109863,0.24451637268066406,0.23929715156555176,0.28845787048339844,0.25914788246154785"
46,-1,0.37574124,0.23699808,15.426109,59,"0.2789952754974365,0.289581298828125,0.25999975204467773,0.2507162094116211,0.25205159187316895,0.24575018882751465,0.25797390937805176,0.24674630165100098,0.24799776077270508,0.24373412132263184,0.24678802490234375,0.24367833137512207,0.24596071243286133,0.26928019523620605,0.2407541275024414,0.2676544189453125,0.2440018653869629,0.24272584915161133,0.27696657180786133,0.26999855041503906,0.24699687957763672,0.24228978157043457,0.24359822273254395,0.24064874649047852,0.2400355339050293,0.2669994831085205,0.2540242671966553,0.23900198936462402,0.2449946403503418,0.24059152603149414,0.2859947681427002,0.2617781162261963,0.2631525993347168,0.24599981307983398,0.24252533912658691,0.2463521957397461,0.23801445960998535,0.2530055046081543,0.25319457054138184,0.24196410179138184,0.32364845275878906,0.37574124336242676,0.27260255813598633,0.3680000305175781,0.26990246772766113,0.26459312438964844,0.24403643608093262,0.31844162940979004,0.255230188369751,0.2692906856536865,0.29065942764282227,0.24203729629516602,0.35237860679626465,0.2432270050048828,0.24097633361816406,0.24137473106384277,0.2397916316986084,0.2646608352661133,0.2369980812072754"
47,-1,0.33825302,0.23899007,4.000739,15,"0.25099945068359375,0.25299835205078125,0.23899006843566895,0.29803037643432617,0.243088960647583,0.2646350860595703,0.2396841049194336,0.3098480701446533,0.3382530212402344,0.2513251304626465,0.24783945083618164,0.2486581802368164,0.28739356994628906,0.24599885940551758,0.28299665451049805"
48,-1,0.4126346,0.24299836,4.3743286,15,"0.2712571620941162,0.2671058177947998,0.3299579620361328,0.24636340141296387,0.2619960308074951,0.24299836158752441,0.25371789932250977,0.3686842918395996,0.26497507095336914,0.368999719619751,0.2545466423034668,0.41263461112976074,0.33211302757263184,0.2549905776977539,0.2439877986907959"
49,-1,0.35000014,0.23891306,20.064148,79,"0.31371521949768066,0.2491447925567627,0.2462613582611084,0.2469620704650879,0.24342560768127441,0.24064350128173828,0.2436215877532959,0.3391568660736084,0.24299407005310059,0.24419569969177246,0.24320459365844727,0.24303579330444336,0.2727036476135254,0.23999476432800293,0.24796247482299805,0.2443406581878662,0.24396538734436035,0.2577536106109619,0.24023866653442383,0.35000014305114746,0.24399757385253906,0.24299907684326172,0.2510397434234619,0.24273014068603516,0.2565310001373291,0.2419569492340088,0.24802613258361816,0.24620723724365234,0.2456521987915039,0.24396038055419922,0.24103260040283203,0.2694096565246582,0.24100184440612793,0.25060606002807617,0.24063944816589355,0.24391603469848633,0.3007655143737793,0.24033856391906738,0.25597620010375977,0.2450554370880127,0.24596405029296875,0.2559781074523926,0.2667660713195801,0.293703556060791,0.24103522300720215,0.2646033763885498,0.24691462516784668,0.24260950088500977,0.26600074768066406,0.2455458641052246,0.2580380439758301,0.24403095245361328,0.2659735679626465,0.2680814266204834,0.24700140953063965,0.25203728675842285,0.24399471282958984,0.26236963272094727,0.24283981323242188,0.23999953269958496,0.24498939514160156,0.24194860458374023,0.24405241012573242,0.24541234970092773,0.23891305923461914,0.26969194412231445,0.2446579933166504,0.26903748512268066,0.26283884048461914,0.25303196907043457,0.27068018913269043,0.24303579330444336,0.24462246894836426,0.24016642570495605,0.2826113700866699,0.23896503448486328,0.27289628982543945,0.23894882202148438,0.2389981746673584"
